Time(s), System_CPU(%), Target_CPU(%), Target_Memory(MB), System_Memory_Used(MB), System_Memory_Total(MB)
0.26, 26.90, 0.00, 3.55, 1973.57, 15695.66
4.29, 100.00, 159.90, 1269.66, 2421.34, 15695.66
8.22, 8.30, 70.00, 1280.41, 2709.42, 15695.66
12.16, 9.20, 100.00, 1307.61, 2891.07, 15695.66
16.15, 18.20, 366.30, 1454.59, 2818.06, 15695.66
20.14, 55.00, 179.80, 1655.09, 3723.99, 15695.66
24.12, 59.00, 59.80, 1667.53, 3918.93, 15695.66
28.08, 52.10, 80.00, 1670.78, 3949.80, 15695.66
32.06, 62.40, 69.50, 1672.66, 3981.56, 15695.66
36.07, 77.50, 99.80, 1673.91, 3994.61, 15695.66
40.13, 83.90, 89.20, 1675.32, 4010.19, 15695.66
44.12, 74.40, 98.20, 1676.20, 4023.13, 15695.66
48.13, 72.90, 109.50, 1678.09, 4034.32, 15695.66
52.14, 76.90, 98.50, 1679.34, 4042.78, 15695.66
56.17, 77.10, 147.50, 1681.46, 4054.93, 15695.66
60.17, 79.00, 139.70, 1683.46, 4064.93, 15695.66
64.18, 73.60, 149.40, 1684.84, 4072.04, 15695.66
68.18, 76.70, 90.00, 1685.73, 4078.77, 15695.66
72.19, 79.00, 79.50, 1686.85, 4080.98, 15695.66
76.20, 77.80, 69.20, 1687.27, 4083.09, 15695.66
80.19, 70.30, 99.50, 1681.53, 4084.90, 15695.66
84.19, 74.00, 119.60, 1679.64, 4076.90, 15695.66
87.99, 75.60, 20.00, 1558.12, 4077.04, 15695.66
91.74, 28.90, 10.00, 1558.12, 4013.62, 15695.66
95.47, 23.10, 30.00, 1558.12, 4016.30, 15695.66
99.21, 23.10, 0.00, 1558.12, 4018.81, 15695.66
102.96, 22.00, 10.00, 1558.12, 4021.69, 15695.66
106.71, 22.70, 0.00, 1558.12, 4023.88, 15695.66
110.46, 21.40, 0.00, 1558.12, 4027.72, 15695.66
114.20, 23.10, 0.00, 1558.12, 4030.07, 15695.66
117.93, 23.80, 10.00, 1558.12, 4034.52, 15695.66
121.68, 21.80, 0.00, 1558.12, 4037.45, 15695.66
125.43, 21.20, 0.00, 1558.12, 4039.90, 15695.66
