Time(s),Coverage(%),Number of running robots
1.0,7.73,2
2.0,7.73,2
3.0,7.73,2
4.0,7.73,2
5.0,7.73,2
6.0,7.73,2
7.0,7.73,2
8.0,7.73,2
9.0,7.73,2
10.0,7.73,2
11.0,11.73,2
12.0,11.73,2
13.0,12.04,2
14.0,12.29,2
15.0,12.39,2
16.0,12.47,2
17.0,12.55,2
18.0,12.59,2
19.0,12.61,2
20.0,12.65,2
21.0,13.10,2
22.0,13.50,2
23.0,14.02,2
24.0,14.11,2
25.0,14.53,2
26.0,15.00,2
27.0,15.36,2
28.0,15.50,2
29.0,15.63,2
30.0,16.01,2
31.0,16.67,2
32.0,17.32,2
33.0,17.36,2
34.0,17.36,2
35.0,17.36,2
36.0,17.40,2
37.0,17.68,2
38.0,18.07,2
39.0,18.71,2
40.0,19.76,2
41.0,20.66,2
42.0,22.37,2
43.0,22.44,2
44.0,22.55,2
45.0,23.43,2
46.0,24.10,2
47.0,24.93,2
48.0,26.10,2
49.0,26.10,2
50.0,26.16,2
51.0,27.18,2
52.0,27.71,2
53.0,28.03,2
54.0,28.20,2
55.0,28.41,2
56.0,28.58,2
57.0,28.70,2
58.0,28.77,2
59.0,28.77,2
60.0,28.79,2
61.0,28.93,2
62.0,29.09,2
63.0,29.23,2
64.0,29.33,2
65.0,29.45,2
66.0,29.60,2
67.0,29.70,2
68.0,29.76,2
69.0,29.79,2
70.0,29.85,2
71.0,30.06,2
72.0,31.39,2
73.0,31.50,2
74.0,31.69,2
75.0,32.46,2
76.0,33.18,2
77.0,33.67,2
78.0,34.11,2
79.0,34.89,2
80.0,34.94,2
81.0,35.00,2
82.0,35.17,2
83.0,35.23,2
84.0,35.25,2
85.0,35.30,2
86.0,35.34,2
87.0,35.37,2
88.0,35.43,2
89.0,35.51,2
90.0,35.58,2
91.0,35.67,2
92.0,36.15,2
93.0,36.52,2
94.0,36.90,2
95.0,37.43,2
96.0,37.80,2
97.0,37.89,2
98.0,37.98,2
99.0,38.15,2
100.0,38.51,2
101.0,38.66,2
102.0,38.81,2
103.0,39.00,2
104.0,39.16,2
105.0,39.31,2
106.0,39.58,2
107.0,39.86,2
108.0,40.28,2
109.0,40.72,2
110.0,41.08,2
111.0,41.50,2
112.0,42.18,2
113.0,43.37,2
114.0,44.04,2
115.0,44.17,2
116.0,44.24,2
117.0,44.59,2
118.0,45.16,2
119.0,45.66,2
120.0,45.80,2
