Time(s), System_CPU(%), Target_CPU(%), Target_Memory(MB), System_Memory_Used(MB), System_Memory_Total(MB)
0.23, 20.80, 0.00, 3.46, 1599.20, 15695.66
1.55, 0.00, 0.00, 67.09, 1667.80, 15695.66
2.86, 9.20, 0.00, 67.09, 1763.23, 15695.66
4.18, 0.80, 0.00, 67.09, 1770.14, 15695.66
5.49, 0.00, 0.00, 67.09, 1762.55, 15695.66
7.01, 0.80, 0.00, 129.32, 1797.82, 15695.66
8.53, 3.30, 0.00, 129.32, 1766.45, 15695.66
10.04, 0.80, 0.00, 129.45, 1745.50, 15695.66
11.56, 1.70, 0.00, 129.45, 1715.10, 15695.66
13.07, 2.50, 0.00, 129.45, 1704.08, 15695.66
14.59, 2.50, 0.00, 129.45, 1687.99, 15695.66
16.10, 2.50, 10.00, 129.45, 1679.76, 15695.66
17.62, 1.70, 10.00, 129.45, 1675.96, 15695.66
19.13, 1.70, 10.00, 129.45, 1669.41, 15695.66
20.65, 0.80, 10.00, 129.45, 1659.95, 15695.66
22.17, 0.00, 0.00, 129.45, 1655.98, 15695.66
23.68, 1.70, 10.00, 129.45, 1652.91, 15695.66
25.20, 0.80, 10.00, 129.45, 1642.96, 15695.66
26.71, 0.80, 0.00, 129.45, 1640.78, 15695.66
28.23, 0.80, 0.00, 129.45, 1639.76, 15695.66
29.74, 1.70, 0.00, 129.45, 1638.89, 15695.66
31.26, 0.80, 0.00, 129.45, 1636.43, 15695.66
32.78, 0.80, 0.00, 129.45, 1636.45, 15695.66
34.29, 0.90, 0.00, 129.45, 1636.29, 15695.66
35.81, 0.80, 0.00, 129.45, 1636.47, 15695.66
37.33, 1.70, 10.00, 129.45, 1637.64, 15695.66
38.85, 0.80, 0.00, 129.45, 1637.40, 15695.66
40.38, 1.70, 10.00, 129.45, 1637.92, 15695.66
41.89, 1.70, 0.00, 129.57, 1638.87, 15695.66
43.41, 1.70, 10.00, 129.57, 1626.34, 15695.66
44.93, 0.80, 0.00, 129.57, 1625.16, 15695.66
46.44, 1.70, 0.00, 129.57, 1625.65, 15695.66
47.96, 1.70, 0.00, 129.57, 1626.34, 15695.66
49.47, 2.50, 0.00, 129.57, 1624.83, 15695.66
50.99, 2.50, 0.00, 129.57, 1625.86, 15695.66
52.50, 2.50, 0.00, 129.57, 1625.94, 15695.66
54.02, 0.80, 0.00, 129.57, 1620.41, 15695.66
55.53, 3.30, 0.00, 129.57, 1621.54, 15695.66
57.05, 1.70, 0.00, 129.70, 1620.99, 15695.66
58.56, 1.70, 10.00, 129.70, 1621.28, 15695.66
60.08, 0.80, 0.00, 129.70, 1619.34, 15695.66
61.59, 1.70, 0.00, 129.70, 1619.08, 15695.66
63.11, 0.80, 0.00, 129.70, 1617.84, 15695.66
64.63, 0.80, 0.00, 129.70, 1618.62, 15695.66
66.14, 0.80, 10.00, 129.70, 1619.59, 15695.66
67.66, 1.70, 0.00, 129.70, 1620.22, 15695.66
69.17, 0.80, 10.00, 129.70, 1619.99, 15695.66
70.69, 0.80, 0.00, 129.70, 1621.18, 15695.66
72.20, 1.70, 10.00, 129.70, 1621.91, 15695.66
73.72, 0.80, 10.00, 129.70, 1622.06, 15695.66
75.23, 3.30, 0.00, 129.70, 1620.16, 15695.66
76.75, 2.50, 0.00, 129.70, 1622.10, 15695.66
78.26, 2.50, 10.00, 129.70, 1621.78, 15695.66
79.78, 0.80, 10.00, 129.70, 1620.86, 15695.66
81.29, 0.80, 10.00, 129.70, 1620.34, 15695.66
82.81, 1.70, 0.00, 129.70, 1622.00, 15695.66
84.33, 0.80, 0.00, 129.70, 1622.51, 15695.66
85.85, 0.80, 0.00, 129.70, 1622.98, 15695.66
87.36, 0.80, 0.00, 129.70, 1623.65, 15695.66
88.88, 1.70, 0.00, 129.70, 1624.61, 15695.66
90.40, 0.80, 0.00, 129.70, 1623.19, 15695.66
91.91, 0.80, 10.00, 129.70, 1623.60, 15695.66
93.43, 1.70, 0.00, 129.70, 1624.43, 15695.66
94.94, 3.30, 10.00, 129.70, 1624.98, 15695.66
96.46, 3.30, 0.00, 129.70, 1624.26, 15695.66
97.97, 1.70, 0.00, 129.70, 1623.24, 15695.66
99.49, 2.50, 0.00, 129.70, 1624.54, 15695.66
101.01, 1.70, 0.00, 129.70, 1624.77, 15695.66
102.52, 0.80, 10.00, 129.70, 1625.25, 15695.66
104.04, 2.50, 0.00, 129.70, 1626.45, 15695.66
105.55, 0.80, 0.00, 129.70, 1626.45, 15695.66
107.07, 0.80, 10.00, 129.70, 1627.19, 15695.66
108.58, 0.80, 0.00, 129.70, 1628.12, 15695.66
110.10, 1.70, 0.00, 129.70, 1626.82, 15695.66
111.61, 0.80, 0.00, 129.70, 1627.09, 15695.66
113.13, 1.70, 10.00, 129.70, 1626.60, 15695.66
114.65, 1.70, 10.00, 129.70, 1626.57, 15695.66
116.16, 1.70, 0.00, 129.70, 1627.29, 15695.66
117.68, 2.50, 10.00, 129.70, 1627.74, 15695.66
119.19, 0.80, 0.00, 129.70, 1626.02, 15695.66
120.71, 0.80, 10.00, 129.70, 1627.06, 15695.66
122.22, 0.80, 0.00, 129.70, 1627.68, 15695.66
123.74, 8.40, 10.00, 129.82, 1610.97, 15695.66
