Time(s),Coverage(%),Number of running robots
1746880972.0,0.00, 13
1746880973.0,0.00, 13
1746880974.0,19.27, 13
1746880975.0,21.52, 13
1746880976.1,22.47, 13
1746880977.1,22.97, 13
1746880978.1,23.51, 13
1746880979.1,24.27, 13
1746880980.1,24.60, 13
1746880981.1,25.11, 13
1746880982.2,25.75, 13
1746880983.2,26.19, 13
1746880984.2,26.54, 13
1746880985.2,26.56, 13
1746880986.2,26.63, 13
1746880987.2,26.77, 13
1746880988.2,26.82, 13
1746880989.2,26.91, 13
1746880990.3,27.14, 13
1746880991.3,27.14, 13
1746880992.3,27.21, 13
1746880993.3,27.43, 13
1746880994.3,27.49, 13
1746880995.3,27.49, 13
1746880996.4,27.58, 13
1746880997.4,27.70, 13
1746880998.4,27.81, 13
1746880999.4,27.92, 13
1746881000.4,28.06, 13
1746881001.5,28.24, 13
1746881002.5,28.34, 13
1746881003.5,28.56, 13
1746881004.5,28.78, 13
1746881005.5,28.91, 13
1746881006.6,29.02, 13
1746881007.6,29.16, 13
1746881008.6,29.46, 13
1746881009.6,29.46, 13
1746881010.6,29.81, 13
1746881011.6,30.21, 13
1746881012.6,30.44, 13
1746881013.6,30.66, 13
1746881014.6,30.86, 13
1746881015.6,30.97, 13
1746881016.7,31.16, 13
1746881017.7,31.39, 13
1746881018.7,31.57, 13
1746881019.7,31.75, 13
1746881020.7,31.90, 13
1746881021.7,32.09, 13
1746881022.7,32.25, 13
1746881023.7,32.38, 13
1746881024.7,32.57, 13
1746881025.8,32.75, 13
1746881026.8,32.90, 13
1746881027.8,33.02, 13
1746881028.8,33.24, 13
1746881029.8,33.36, 13
1746881030.9,33.49, 13
1746881031.9,33.58, 13
1746881032.9,33.72, 13
1746881033.9,33.67, 13
1746881034.9,33.81, 13
1746881035.9,33.96, 13
1746881036.9,34.09, 13
1746881037.9,34.38, 13
1746881039.0,34.66, 13
1746881040.0,35.03, 13
1746881041.0,35.30, 13
1746881042.0,35.92, 13
1746881043.0,36.29, 13
1746881044.0,36.62, 13
1746881045.0,36.96, 13
1746881046.0,37.16, 13
1746881047.0,37.39, 13
1746881048.0,37.63, 13
1746881049.1,37.79, 13
1746881050.1,37.94, 13
1746881051.1,38.05, 13
1746881052.1,38.39, 13
1746881053.1,38.65, 13
1746881054.2,38.92, 13
1746881055.2,39.25, 13
1746881056.2,39.47, 13
1746881057.2,39.95, 13
1746881058.2,40.52, 13
1746881059.2,41.19, 13
1746881060.2,41.78, 13
1746881061.2,42.40, 13
1746881062.3,42.84, 13
1746881063.3,43.33, 13
1746881064.3,43.81, 13
1746881065.3,45.12, 13
1746881066.3,45.12, 13
1746881067.3,45.65, 13
1746881068.3,46.11, 13
1746881069.4,46.66, 13
1746881070.4,47.75, 13
1746881071.4,47.75, 13
1746881072.4,48.29, 13
1746881073.4,48.52, 13
1746881074.4,48.91, 13
1746881075.4,48.91, 13
1746881076.5,49.78, 13
1746881077.5,50.13, 13
1746881078.5,50.73, 13
1746881079.5,51.65, 13
1746881080.5,51.65, 13
1746881081.6,52.36, 13
1746881082.6,52.89, 13
1746881083.6,53.73, 13
1746881084.6,54.33, 13
1746881085.6,55.19, 13
1746881086.6,55.62, 13
1746881087.6,56.00, 13
