Time(s), CPU(%), Memory(MB)
0.15, 0.00, 3.46
1.36, 0.00, 67.11
2.58, 0.00, 67.11
3.80, 0.00, 67.23
5.01, 0.00, 67.23
8.97, 159.90, 886.71
12.80, 50.00, 891.34
16.63, 50.00, 891.52
20.47, 40.00, 891.52
24.30, 40.00, 891.64
28.14, 10.00, 892.02
31.97, 20.00, 892.02
35.82, 70.00, 892.02
39.67, 60.00, 892.02
43.50, 50.00, 892.39
47.35, 40.00, 892.39
51.18, 69.90, 892.64
55.01, 29.80, 892.77
58.85, 59.90, 892.89
62.71, 40.00, 893.02
66.54, 20.00, 893.14
70.37, 20.00, 893.14
74.21, 40.00, 893.64
78.05, 40.00, 893.64
81.89, 10.00, 893.64
85.75, 59.90, 893.64
89.59, 40.00, 893.77
93.42, 50.00, 893.77
97.26, 40.00, 894.02
101.09, 60.00, 894.14
104.93, 40.00, 894.27
108.78, 30.00, 894.39
112.62, 29.90, 894.52
116.47, 60.00, 894.64
120.32, 40.00, 894.64
