Time(s), CPU(%), Memory(MB)
0.15, 0.00, 3.54
4.09, 297.70, 1256.80
7.92, 79.90, 1280.93
11.75, 60.00, 1309.05
15.66, 307.20, 1374.14
19.88, 286.50, 1618.05
23.78, 139.30, 1653.48
27.69, 199.20, 1656.77
31.58, 179.30, 1658.64
35.48, 79.60, 1660.14
39.40, 108.70, 1661.89
43.30, 108.90, 1663.09
47.19, 109.60, 1664.39
51.10, 140.00, 1665.89
55.00, 139.30, 1667.53
58.93, 138.50, 1669.31
62.86, 119.10, 1670.31
66.78, 109.20, 1671.31
70.68, 109.60, 1672.93
74.60, 99.40, 1674.06
78.52, 139.10, 1675.06
82.41, 119.80, 1674.80
86.31, 109.30, 1669.86
90.22, 89.00, 1669.28
94.12, 119.30, 1671.16
98.03, 109.30, 1673.03
101.99, 198.40, 1674.53
105.95, 100.00, 1675.91
109.96, 136.70, 1677.66
113.95, 118.30, 1679.28
117.92, 129.20, 1680.78
121.86, 218.40, 1681.41
125.82, 69.90, 1682.28
129.79, 178.20, 1683.91
133.78, 128.10, 1684.91
137.79, 109.00, 1686.66
141.75, 186.20, 1687.54
145.73, 149.20, 1688.41
149.69, 129.20, 1689.41
153.56, 139.90, 1691.04
157.45, 109.20, 1693.16
161.32, 99.40, 1694.41
165.21, 59.80, 1696.29
169.09, 110.00, 1698.04
172.99, 99.70, 1699.04
176.86, 119.50, 1700.16
180.73, 119.00, 1701.16
184.64, 149.90, 1702.41
188.57, 149.00, 1702.91
192.55, 108.70, 1703.41
