Time(s),Coverage(%),Number of running robots
1747738811.9,0.00,5
1747738812.9,12.88,5
1747738813.9,12.88,5
1747738814.9,12.88,5
1747738815.9,12.88,5
1747738816.9,12.88,5
1747738817.9,12.88,5
1747738818.9,12.88,5
1747738819.9,12.88,5
1747738821.0,12.88,5
1747738822.0,14.14,5
1747738823.0,16.77,5
1747738824.0,19.79,5
1747738825.0,21.00,5
1747738826.0,22.07,5
1747738827.0,22.72,5
1747738828.0,23.55,5
1747738829.0,24.97,5
1747738830.0,25.68,5
1747738831.0,25.95,5
1747738832.0,26.22,5
1747738833.1,26.61,5
1747738834.1,27.25,5
1747738835.1,27.91,5
1747738836.1,28.02,5
1747738837.1,28.22,5
1747738838.1,28.26,5
1747738839.1,28.38,5
1747738840.1,28.41,5
1747738841.1,28.45,5
1747738842.1,28.46,5
1747738843.2,28.58,5
1747738844.2,28.69,5
1747738845.2,28.88,5
1747738846.2,29.25,5
1747738847.2,29.60,5
1747738848.2,29.90,5
1747738849.2,30.00,5
1747738850.2,30.13,5
1747738851.2,30.09,5
1747738852.2,30.12,5
1747738853.3,30.14,5
1747738854.3,30.17,5
1747738855.3,30.19,5
1747738856.3,30.20,5
1747738857.3,30.41,5
1747738858.3,31.21,5
1747738859.3,33.09,5
1747738860.3,34.63,5
1747738861.3,35.71,5
1747738862.3,36.69,5
1747738863.3,38.14,5
1747738864.3,39.97,5
1747738865.3,40.87,5
1747738866.4,41.13,5
1747738867.4,41.50,5
1747738868.4,41.92,5
1747738869.4,41.96,5
1747738870.4,42.06,5
1747738871.4,42.15,5
1747738872.4,42.22,5
1747738873.4,42.33,5
1747738874.4,42.39,5
1747738875.5,42.51,5
1747738876.5,42.74,5
1747738877.5,42.97,5
1747738878.5,43.24,5
1747738879.5,43.67,5
1747738880.5,44.12,5
1747738881.5,44.14,5
1747738882.5,44.20,5
1747738883.5,44.30,5
1747738884.5,44.66,5
1747738885.5,45.07,5
1747738886.5,45.52,5
1747738887.5,45.76,5
1747738888.5,45.92,5
1747738889.5,46.48,5
1747738890.6,47.24,5
1747738891.6,47.54,5
1747738892.6,47.80,5
1747738893.6,48.03,5
1747738894.6,48.20,5
1747738895.6,48.23,5
1747738896.6,48.34,5
1747738897.6,48.40,5
1747738898.6,48.70,5
1747738899.6,51.11,5
1747738900.6,52.00,5
1747738901.6,52.33,5
1747738902.6,52.69,5
1747738903.7,53.10,5
1747738904.7,53.32,5
1747738905.7,53.89,5
1747738906.7,53.99,5
1747738907.7,54.23,5
1747738908.7,54.29,5
1747738909.7,54.46,5
