Time(s), CPU(%), Memory(MB)
0.14, 0.00, 3.53
1.36, 0.00, 67.32
2.58, 0.00, 67.32
3.80, 0.00, 67.45
5.01, 0.00, 67.45
9.05, 70.00, 888.91
12.87, 40.00, 890.04
16.71, 89.90, 890.54
20.55, 39.90, 890.66
24.39, 20.00, 890.91
28.24, 40.00, 891.16
32.07, 70.00, 891.41
35.93, 40.00, 891.66
39.78, 29.90, 891.91
43.61, 19.90, 892.29
47.45, 40.00, 892.54
51.29, 40.00, 892.79
55.13, 50.00, 893.04
58.96, 20.00, 893.16
62.79, 69.90, 893.29
66.65, 10.00, 894.29
70.48, 60.00, 894.29
74.32, 40.00, 894.91
78.16, 40.00, 894.91
81.99, 50.00, 895.16
85.82, 19.90, 895.29
89.66, 40.00, 895.41
93.49, 20.00, 895.54
97.32, 70.00, 895.79
101.17, 50.00, 895.91
105.01, 50.00, 896.54
108.85, 30.00, 896.91
112.69, 50.00, 897.29
116.53, 40.00, 897.41
120.36, 30.00, 897.41
124.19, 40.00, 897.91
128.02, 59.90, 895.57
131.86, 30.00, 891.52
135.70, 49.90, 890.20
139.54, 60.00, 887.20
143.37, 50.00, 887.45
147.22, 50.00, 887.83
151.05, 60.00, 887.83
154.88, 60.00, 887.95
158.74, 80.00, 888.45
162.58, 40.00, 888.95
166.41, 49.90, 888.95
170.26, 60.00, 889.08
174.10, 70.00, 889.33
177.93, 29.90, 889.58
181.76, 70.00, 889.70
185.61, 20.00, 889.83
189.44, 50.00, 889.83
193.29, 30.00, 890.58
197.12, 50.00, 890.70
200.94, 40.00, 890.70
204.78, 30.00, 890.83
208.61, 40.00, 891.20
212.44, 30.00, 891.33
216.28, 30.00, 891.70
220.11, 20.00, 892.20
223.94, 30.00, 892.20
227.78, 40.00, 892.70
231.61, 30.00, 892.83
235.44, 10.00, 892.95
239.28, 29.90, 893.33
243.12, 30.00, 893.45
246.95, 50.00, 893.45
250.78, 20.00, 893.45
254.62, 30.00, 893.58
258.45, 60.00, 893.83
262.28, 10.00, 893.83
266.12, 30.00, 894.45
269.95, 40.00, 894.58
273.78, 30.00, 894.83
277.61, 40.00, 895.08
281.44, 60.00, 895.58
285.28, 59.90, 895.70
289.14, 30.00, 895.83
292.97, 59.90, 895.83
296.80, 50.00, 895.83
300.65, 50.00, 895.95
304.48, 40.00, 896.33
308.32, 29.90, 896.83
312.15, 50.00, 896.95
315.98, 40.00, 897.20
319.83, 60.00, 897.33
323.67, 50.00, 897.33
327.51, 40.00, 897.45
331.35, 70.00, 897.83
335.18, 30.00, 897.37
339.01, 40.00, 895.46
342.84, 50.00, 893.90
346.68, 10.00, 888.76
350.51, 39.90, 888.76
354.34, 40.00, 888.76
358.17, 20.00, 888.38
362.00, 80.00, 888.50
365.84, 50.00, 888.50
369.67, 40.00, 888.75
373.50, 60.00, 888.75
377.33, 30.00, 888.88
381.17, 50.00, 889.00
385.01, 50.00, 889.13
388.84, 40.00, 889.50
392.69, 40.00, 889.75
396.52, 20.00, 890.00
400.35, 40.00, 890.25
404.19, 30.00, 890.38
408.03, 50.00, 890.63
411.86, 60.00, 891.00
415.70, 50.00, 891.25
419.53, 50.00, 891.75
423.36, 30.00, 892.00
