Time(s),Coverage(%),Number of running robots
1747818819.7,0.00,8
1747818820.7,13.99,8
1747818821.7,17.21,8
1747818822.8,18.03,8
1747818823.8,18.23,8
1747818824.8,18.44,8
1747818825.8,18.64,8
1747818826.8,18.78,8
1747818827.8,18.91,8
1747818828.8,18.97,8
1747818829.8,19.11,8
1747818830.8,19.24,8
1747818831.8,19.37,8
1747818832.8,19.50,8
1747818833.8,19.73,8
1747818834.8,19.83,8
1747818835.9,20.02,8
1747818836.9,20.09,8
1747818837.9,20.18,8
1747818838.9,20.29,8
1747818839.9,20.48,8
1747818840.9,20.60,8
1747818841.9,20.70,8
1747818842.9,20.84,8
1747818843.9,20.92,8
1747818844.9,20.95,8
1747818846.0,21.10,8
1747818847.0,21.18,8
1747818848.0,21.34,8
1747818849.0,21.44,8
1747818850.0,21.58,8
1747818851.0,21.75,8
1747818852.0,21.86,8
1747818853.0,22.03,8
1747818854.0,22.22,8
1747818855.0,22.34,8
1747818856.0,22.49,8
1747818857.0,22.60,8
1747818858.0,22.73,8
1747818859.0,22.84,8
1747818860.0,22.92,8
1747818861.1,22.99,8
1747818862.1,23.02,8
1747818863.1,23.08,8
1747818864.1,23.10,8
1747818865.1,23.17,8
1747818866.1,23.26,8
1747818867.1,23.30,8
1747818868.1,23.38,8
1747818869.1,23.43,8
1747818870.1,23.43,8
1747818871.2,23.48,8
1747818872.2,23.58,8
1747818873.2,23.67,8
1747818874.2,23.77,8
1747818875.2,23.89,8
1747818876.2,23.97,8
1747818877.2,24.02,8
1747818878.2,24.08,8
1747818879.2,24.10,8
1747818880.2,24.16,8
1747818881.2,24.20,8
1747818882.3,24.39,8
1747818883.3,24.60,8
1747818884.3,24.76,8
1747818885.3,24.94,8
1747818886.3,25.17,8
1747818887.3,25.39,8
1747818888.3,25.46,8
1747818889.3,25.71,8
1747818890.3,26.00,8
1747818891.4,26.35,8
1747818892.4,26.65,8
1747818893.4,26.97,8
1747818894.4,27.61,8
1747818895.4,28.25,8
1747818896.4,28.49,8
1747818897.4,28.79,8
1747818898.4,29.04,8
1747818899.4,29.56,8
1747818900.4,29.83,8
1747818901.5,30.17,8
1747818902.5,30.17,8
1747818903.5,30.80,8
1747818904.5,31.39,8
1747818905.5,32.00,8
1747818906.5,32.36,8
1747818907.5,32.74,8
1747818908.5,33.22,8
1747818909.5,33.64,8
1747818910.6,34.06,8
1747818911.6,34.32,8
1747818912.6,34.59,8
1747818913.6,35.01,8
1747818914.6,35.35,8
1747818915.6,35.61,8
1747818916.6,35.92,8
1747818917.7,36.55,8
1747818918.7,36.71,8
1747818919.7,36.93,8
1747818920.7,37.00,8
1747818921.7,37.25,8
1747818922.7,37.55,8
1747818923.7,37.87,8
1747818924.7,38.09,8
1747818925.7,38.41,8
1747818926.8,38.69,8
1747818927.8,38.91,8
1747818928.8,39.04,8
1747818929.8,39.32,8
1747818930.8,40.78,8
1747818931.8,41.57,8
1747818932.8,41.93,8
1747818933.8,42.29,8
1747818934.8,42.40,8
1747818935.8,42.42,8
1747818936.9,42.69,8
1747818937.9,42.71,8
1747818938.9,42.71,8
1747818939.9,42.73,8
1747818940.9,42.75,8
1747818941.9,42.80,8
1747818942.9,42.82,8
1747818943.9,42.83,8
1747818944.9,42.88,8
1747818945.9,43.01,8
1747818947.0,43.06,8
1747818948.0,43.28,8
1747818949.0,43.43,8
1747818950.0,43.67,8
1747818951.0,43.80,8
1747818952.0,44.06,8
1747818953.0,44.16,8
1747818954.0,44.23,8
1747818955.0,44.37,8
1747818956.0,44.59,8
1747818957.1,44.81,8
1747818958.1,45.08,8
1747818959.1,45.30,8
1747818960.1,45.50,8
1747818961.1,45.64,8
1747818962.1,45.78,8
1747818963.1,45.88,8
1747818964.1,45.97,8
1747818965.1,46.10,8
1747818966.1,46.19,8
1747818967.1,46.24,8
1747818968.2,46.29,8
1747818969.2,46.37,8
1747818970.2,46.48,8
1747818971.2,46.53,8
1747818972.2,46.59,8
1747818973.2,46.65,8
1747818974.2,46.70,8
1747818975.2,46.76,8
1747818976.2,46.88,8
1747818977.2,46.96,8
1747818978.2,47.06,8
1747818979.3,47.15,8
1747818980.3,47.31,8
1747818981.3,47.47,8
1747818982.3,47.79,8
1747818983.3,48.09,8
1747818984.3,48.35,8
1747818985.3,48.69,8
1747818986.3,48.84,8
1747818987.3,48.87,8
1747818988.3,49.02,8
1747818989.3,49.20,8
1747818990.3,49.32,8
1747818991.4,49.53,8
1747818992.4,49.62,8
1747818993.4,49.78,8
1747818994.4,49.91,8
1747818995.4,50.06,8
1747818996.4,50.17,8
1747818997.4,50.24,8
1747818998.4,50.31,8
1747818999.4,50.37,8
1747819000.4,50.37,8
1747819001.4,50.42,8
1747819002.5,50.49,8
1747819003.5,50.51,8
1747819004.5,50.54,8
1747819005.5,50.56,8
1747819006.5,50.59,8
1747819007.5,50.69,8
1747819008.5,50.74,8
1747819009.5,50.74,8
1747819010.5,50.80,8
1747819011.5,50.97,8
1747819012.5,51.11,8
1747819013.5,51.25,8
1747819014.5,51.44,8
1747819015.5,51.44,8
1747819016.5,51.85,8
1747819017.5,52.19,8
1747819018.6,52.48,8
1747819019.6,52.69,8
1747819020.6,52.88,8
1747819021.6,53.25,8
1747819022.6,53.52,8
1747819023.6,53.83,8
1747819024.6,54.05,8
1747819025.6,54.05,8
1747819026.6,54.36,8
1747819027.6,54.60,8
1747819028.6,54.80,8
1747819029.7,54.88,8
1747819030.7,55.06,8
1747819031.7,55.34,8
1747819032.7,55.56,8
1747819033.7,55.85,8
1747819034.7,56.03,8
1747819035.7,56.23,8
1747819036.7,56.38,8
1747819037.8,56.38,8
1747819038.8,56.64,8
1747819039.8,56.72,8
1747819040.8,56.75,8
1747819041.8,56.78,8
1747819042.8,56.79,8
1747819043.9,56.87,8
1747819044.9,56.87,8
1747819045.9,56.99,8
1747819046.9,57.04,8
1747819047.9,57.12,8
1747819048.9,57.16,8
1747819049.9,57.23,8
1747819050.9,57.23,8
1747819051.9,57.25,8
1747819052.9,57.31,8
1747819053.9,57.33,8
1747819054.9,57.36,8
1747819055.9,57.37,8
1747819057.0,57.42,8
1747819058.0,57.43,8
1747819059.0,57.44,8
1747819060.0,57.46,8
1747819061.0,57.53,8
1747819062.0,57.59,8
1747819063.0,57.61,8
1747819064.0,57.62,8
1747819065.0,57.66,8
1747819066.0,57.70,8
1747819067.1,58.87,8
1747819068.1,58.87,8
1747819069.1,58.88,8
1747819070.1,58.92,8
1747819071.1,58.93,8
1747819072.1,58.93,8
1747819073.1,58.94,8
1747819074.1,58.69,8
1747819075.1,58.70,8
1747819076.1,58.71,8
1747819077.1,58.73,8
1747819078.1,58.73,8
1747819079.1,58.75,8
1747819080.1,58.75,8
1747819081.2,58.75,8
1747819082.2,58.76,8
1747819083.2,58.77,8
1747819084.2,58.77,8
1747819085.2,58.78,8
1747819086.2,58.78,8
1747819087.2,58.80,8
1747819088.2,58.81,8
1747819089.2,58.83,8
1747819090.2,58.83,8
1747819091.2,58.84,8
1747819092.2,58.86,8
1747819093.2,58.86,8
1747819094.3,58.87,8
1747819095.3,58.87,8
1747819096.3,58.87,8
1747819097.3,58.87,8
1747819098.3,58.87,8
1747819099.4,58.87,8
1747819100.4,58.87,8
1747819101.4,58.88,8
1747819102.4,58.88,8
1747819103.4,58.88,8
1747819104.4,58.88,8
1747819105.4,58.88,8
1747819106.4,58.88,8
1747819107.4,58.88,8
1747819108.4,58.88,8
1747819109.4,58.89,8
1747819110.5,58.89,8
1747819111.5,58.89,8
1747819112.5,58.89,8
