Time(s),Coverage(%),Number of running robots
0.0,0.0,5.0
1.0,12.719999999999999,5.0
2.0,12.719999999999999,5.0
3.0,12.719999999999999,5.0
4.0,12.719999999999999,5.0
5.0,12.719999999999999,5.0
6.0,12.719999999999999,5.0
7.0,12.719999999999999,5.0
8.0,12.719999999999999,5.0
9.0,12.719999999999999,5.0
10.0,13.14,5.0
11.0,16.316666666666666,5.0
12.0,18.93,5.0
13.0,20.526666666666667,5.0
14.0,21.676666666666666,5.0
15.0,22.333333333333332,5.0
16.0,22.956666666666667,5.0
17.0,23.866666666666664,5.0
18.0,24.52,5.0
19.0,24.963333333333335,5.0
20.0,25.656666666666666,5.0
21.0,26.59,5.0
22.0,27.256666666666664,5.0
23.0,27.646666666666665,5.0
24.0,28.116666666666664,5.0
25.0,28.343333333333334,5.0
26.0,28.486666666666668,5.0
27.0,28.69666666666667,5.0
28.0,28.873333333333335,5.0
29.0,29.069999999999997,5.0
30.0,29.346666666666668,5.0
31.0,29.483333333333334,5.0
32.0,29.78333333333333,5.0
33.0,30.126666666666665,5.0
34.0,30.400000000000002,5.0
35.0,30.679999999999996,5.0
36.0,30.91333333333333,5.0
37.0,31.156666666666666,5.0
38.0,31.53,5.0
39.0,31.45,5.0
40.0,31.616666666666664,5.0
41.0,31.813333333333333,5.0
42.0,32.1,5.0
43.0,32.190000000000005,5.0
44.0,32.57,5.0
45.0,32.910000000000004,5.0
46.0,33.56333333333333,5.0
47.0,35.375,5.0
48.0,35.2325,5.0
49.0,37.84,5.0
50.0,37.1275,5.0
51.0,39.92,5.0
52.0,39.707499999999996,5.0
53.0,40.87,5.0
54.0,41.334,5.0
56.0,42.473333333333336,5.0
58.0,44.016000000000005,5.0
59.0,39.08,5.0
60.0,44.95,5.0
61.0,39.27,5.0
62.0,45.688,5.0
63.0,39.53,5.0
64.0,46.769999999999996,5.0
65.0,41.285,5.0
66.0,45.199999999999996,5.0
67.0,45.48333333333333,5.0
68.0,45.74333333333334,5.0
69.0,46.24,5.0
70.0,46.4,5.0
71.0,46.586666666666666,5.0
72.0,46.800000000000004,5.0
73.0,47.11666666666667,5.0
74.0,47.25333333333333,5.0
75.0,48.346666666666664,5.0
76.0,48.666666666666664,5.0
77.0,48.830000000000005,5.0
78.0,49.11333333333334,5.0
79.0,49.449999999999996,5.0
80.0,49.63666666666666,5.0
81.0,49.846666666666664,5.0
82.0,50.13333333333333,5.0
83.0,50.36000000000001,5.0
84.0,50.65,5.0
85.0,51.376666666666665,5.0
86.0,52.339999999999996,5.0
87.0,52.86666666666667,5.0
88.0,53.69333333333333,5.0
89.0,54.01666666666667,5.0
90.0,54.24,5.0
91.0,54.47,5.0
92.0,54.723333333333336,5.0
93.0,54.876666666666665,5.0
94.0,55.123333333333335,5.0
95.0,55.199999999999996,5.0
96.0,55.32666666666666,5.0
97.0,55.406666666666666,5.0
98.0,55.82,5.0
99.0,56.49333333333333,5.0
100.0,56.94,5.0
101.0,57.410000000000004,5.0
102.0,57.68666666666667,5.0
103.0,57.78666666666667,5.0
104.0,57.91,5.0
105.0,58.04666666666666,5.0
106.0,58.223333333333336,5.0
107.0,58.39333333333334,5.0
108.0,58.6,5.0
109.0,58.78,5.0
110.0,58.82333333333333,5.0
111.0,58.846666666666664,5.0
112.0,58.93666666666667,5.0
113.0,59.03666666666667,5.0
114.0,59.053333333333335,5.0
115.0,59.22666666666667,5.0
116.0,59.449999999999996,5.0
117.0,59.6,5.0
118.0,59.99333333333334,5.0
119.0,60.166666666666664,5.0
120.0,60.333333333333336,5.0
121.0,60.52,5.0
