Time(s),Coverage(%),Number of running robots
0.0,0.0,5.0
1.0,12.876666666666665,5.0
2.0,18.476666666666667,5.0
3.0,19.52333333333333,5.0
4.0,19.953333333333333,5.0
5.0,20.26,5.0
6.0,20.74,5.0
7.0,21.439999999999998,5.0
8.0,21.76,5.0
9.0,21.959999999999997,5.0
10.0,22.203333333333333,5.0
11.0,22.426666666666666,5.0
12.0,22.666666666666668,5.0
13.0,22.87,5.0
14.0,23.09,5.0
15.0,23.25333333333333,5.0
16.0,23.46666666666667,5.0
17.0,23.643333333333334,5.0
18.0,23.813333333333333,5.0
19.0,23.97,5.0
20.0,24.176666666666666,5.0
21.0,24.30666666666667,5.0
22.0,24.46666666666667,5.0
23.0,24.58666666666667,5.0
24.0,24.679999999999996,5.0
25.0,24.776666666666667,5.0
26.0,24.856666666666666,5.0
27.0,24.939999999999998,5.0
28.0,24.99,5.0
29.0,25.046666666666667,5.0
30.0,25.14,5.0
31.0,25.310000000000002,5.0
32.0,25.513333333333335,5.0
33.0,25.706666666666667,5.0
34.0,25.84,5.0
35.0,25.99,5.0
36.0,26.103333333333335,5.0
37.0,26.186666666666667,5.0
38.0,26.290000000000003,5.0
39.0,26.373333333333335,5.0
40.0,26.44666666666667,5.0
41.0,26.503333333333334,5.0
42.0,26.55,5.0
43.0,26.616666666666664,5.0
44.0,26.686666666666667,5.0
45.0,26.793333333333333,5.0
46.0,26.88,5.0
47.0,26.926666666666666,5.0
48.0,26.993333333333336,5.0
49.0,27.150000000000002,5.0
50.0,27.39,5.0
51.0,27.55666666666667,5.0
52.0,27.73,5.0
53.0,29.54,5.0
54.0,27.642000000000003,5.0
55.0,29.58,5.0
56.0,27.906,5.0
57.0,29.88,5.0
58.0,28.278,5.0
59.0,30.22,5.0
60.0,28.663999999999998,5.0
61.0,30.4,5.0
62.0,29.042,5.0
64.0,29.201999999999998,5.0
65.0,31.74,5.0
66.0,30.175,5.0
67.0,29.490000000000002,5.0
68.0,30.5075,5.0
69.0,29.869999999999997,5.0
70.0,30.7625,5.0
71.0,30.085,5.0
72.0,30.9725,5.0
73.0,30.485,5.0
74.0,31.05666666666667,5.0
75.0,31.276666666666667,5.0
76.0,31.376666666666665,5.0
77.0,31.62,5.0
78.0,31.926666666666666,5.0
79.0,32.21333333333333,5.0
80.0,32.54333333333333,5.0
81.0,33.056666666666665,5.0
82.0,33.346666666666664,5.0
83.0,33.65333333333333,5.0
84.0,33.97,5.0
85.0,34.34,5.0
86.0,34.68,5.0
87.0,34.86666666666667,5.0
88.0,35.10666666666667,5.0
89.0,35.31,5.0
90.0,35.60333333333333,5.0
91.0,35.85333333333333,5.0
92.0,36.28666666666667,5.0
93.0,36.76333333333333,5.0
94.0,37.29333333333333,5.0
95.0,37.556666666666665,5.0
96.0,37.88333333333333,5.0
97.0,38.11000000000001,5.0
98.0,38.31333333333333,5.0
99.0,38.60333333333333,5.0
100.0,38.873333333333335,5.0
101.0,39.02,5.0
102.0,39.126666666666665,5.0
103.0,39.23666666666667,5.0
104.0,39.376666666666665,5.0
105.0,39.50666666666667,5.0
106.0,39.626666666666665,5.0
107.0,39.88333333333333,5.0
108.0,40.026666666666664,5.0
109.0,40.17666666666667,5.0
110.0,40.28666666666666,5.0
111.0,40.37,5.0
112.0,40.483333333333334,5.0
113.0,40.52,5.0
114.0,40.583333333333336,5.0
115.0,40.669999999999995,5.0
116.0,40.70666666666667,5.0
117.0,40.74,5.0
118.0,40.766666666666666,5.0
119.0,40.78666666666667,5.0
120.0,40.833333333333336,5.0
121.0,40.85666666666666,5.0
122.0,40.85333333333333,5.0
123.0,40.93333333333333,5.0
124.0,40.97,5.0
125.0,41.0,5.0
126.0,41.03666666666666,5.0
127.0,41.07,5.0
128.0,41.056666666666665,5.0
129.0,41.07666666666666,5.0
130.0,41.1,5.0
131.0,41.126666666666665,5.0
132.0,41.17666666666667,5.0
133.0,41.163333333333334,5.0
134.0,41.17333333333334,5.0
135.0,41.23,5.0
136.0,41.29,5.0
137.0,41.330000000000005,5.0
138.0,41.4,5.0
139.0,41.44,5.0
140.0,41.50333333333334,5.0
141.0,41.57333333333333,5.0
142.0,41.586666666666666,5.0
143.0,41.61666666666667,5.0
144.0,41.70666666666667,5.0
145.0,41.78333333333333,5.0
146.0,41.88999999999999,5.0
147.0,41.93666666666667,5.0
148.0,41.99666666666667,5.0
149.0,42.086666666666666,5.0
150.0,42.14666666666667,5.0
151.0,42.20666666666667,5.0
152.0,42.306666666666665,5.0
153.0,42.42666666666667,5.0
154.0,42.593333333333334,5.0
155.0,42.76,5.0
156.0,43.13333333333333,5.0
157.0,43.473333333333336,5.0
158.0,43.696666666666665,5.0
159.0,43.79666666666666,5.0
160.0,43.95666666666667,5.0
161.0,44.28,5.0
162.0,44.52333333333333,5.0
163.0,44.69,5.0
164.0,44.81333333333333,5.0
165.0,44.91,5.0
166.0,45.0,5.0
168.0,45.11833333333333,5.0
170.0,45.31166666666667,5.0
172.0,43.55,5.0
173.0,54.68,5.0
174.0,43.698,5.0
175.0,54.81,5.0
176.0,43.836,5.0
177.0,54.91,5.0
178.0,44.4525,5.0
179.0,48.61,5.0
180.0,44.5925,5.0
181.0,48.855000000000004,5.0
182.0,44.7975,5.0
183.0,49.11,5.0
184.0,44.945,5.0
185.0,49.36,5.0
186.0,46.580000000000005,5.0
187.0,46.71,5.0
188.0,46.836666666666666,5.0
189.0,46.906666666666666,5.0
190.0,47.06333333333333,5.0
191.0,47.15,5.0
192.0,47.25666666666667,5.0
