Time(s),Coverage(%),Number of running robots
0.0,12.838,5.0
1.0,12.838,5.0
2.0,12.838,5.0
3.0,12.838,5.0
4.0,12.838,5.0
5.0,12.838,5.0
6.0,12.838,5.0
7.0,12.838,5.0
8.0,12.943999999999999,5.0
9.0,14.363,5.0
10.0,16.759,5.0
11.0,18.652,5.0
12.0,19.456,5.0
13.0,20.032,5.0
14.0,20.575,5.0
15.0,21.234,5.0
16.0,21.842,5.0
17.0,22.404,5.0
18.0,23.184,5.0
19.0,23.971,5.0
20.0,24.497999999999998,5.0
21.0,24.925,5.0
22.0,25.183,5.0
23.0,25.481,5.0
24.0,25.857,5.0
25.0,26.267000000000003,5.0
26.0,26.557,5.0
27.0,26.77,5.0
28.0,27.125,5.0
29.0,27.655,5.0
30.0,28.372000000000003,5.0
31.0,28.825,5.0
32.0,29.369,5.0
33.0,29.976999999999997,5.0
34.0,30.494999999999997,5.0
35.0,30.845,5.0
36.0,31.371,5.0
37.0,31.856,5.0
38.0,32.342,5.0
39.0,32.614999999999995,5.0
40.0,32.859,5.0
41.0,33.186,5.0
42.0,33.552,5.0
43.0,33.977999999999994,5.0
44.0,34.612,5.0
45.0,35.331,5.0
46.0,35.897000000000006,5.0
47.0,36.386,5.0
48.0,36.783,5.0
49.0,37.242000000000004,5.0
50.0,37.622,5.0
51.0,38.001,5.0
52.0,38.382999999999996,5.0
53.0,38.852,5.0
54.0,39.208,4.9
55.0,39.467,4.9
56.0,39.794,4.9
57.0,40.092,4.9
58.0,40.486000000000004,4.9
59.0,41.105000000000004,4.9
60.0,41.531,4.9
61.0,41.837,4.9
62.0,42.263,4.9
63.0,42.507,4.9
64.0,42.759,4.9
65.0,43.019999999999996,4.9
66.0,43.339,4.9
67.0,43.599000000000004,4.9
68.0,43.834,4.9
69.0,44.119,4.9
70.0,44.486000000000004,4.9
71.0,44.774,4.9
72.0,44.973,4.9
73.0,45.121,4.6
74.0,45.313,4.6
75.0,45.527,4.6
76.0,45.817,4.6
77.0,46.05,4.6
78.0,46.201,4.6
79.0,46.426,4.6
80.0,46.638999999999996,4.6
81.0,46.759,4.6
82.0,46.862,4.6
83.0,46.918,4.6
84.0,46.989,4.6
85.0,47.074,4.6
86.0,47.17,4.6
87.0,47.281,4.6
88.0,47.375,4.6
89.0,47.519999999999996,4.6
90.0,47.702,4.6
91.0,47.828,4.6
92.0,47.994,4.6
93.0,48.164,4.6
94.0,48.340999999999994,4.6
95.0,48.562,4.6
96.0,48.989,4.6
97.0,49.458,4.6
98.0,49.703,4.5
99.0,49.788,4.5
100.0,49.939,4.5
101.0,50.102,4.5
102.0,50.177,4.5
103.0,50.260000000000005,4.5
104.0,50.402,4.5
105.0,50.648,4.5
106.0,50.793,4.5
107.0,50.958,4.5
108.0,51.165,4.5
109.0,51.323,4.5
110.0,51.45399999999999,4.5
111.0,51.539,4.5
112.0,51.637,4.5
113.0,51.802,4.5
114.0,52.024,4.5
115.0,52.152,4.5
116.0,52.227999999999994,4.5
117.0,52.297000000000004,4.5
118.0,52.352999999999994,4.5
119.0,52.419000000000004,4.5
