Time(s),Coverage(%),Number of running robots
0.0,0.0,2.0
1.0,0.0,2.0
2.0,0.0,2.0
3.0,9.913,2.0
4.0,11.913,2.0
5.0,12.359,2.0
6.0,12.601,2.0
7.0,12.792,2.0
8.0,13.142,2.0
9.0,13.363,2.0
10.0,13.488999999999999,2.0
11.0,13.619,2.0
12.0,13.749,2.0
13.0,13.915000000000001,2.0
14.0,14.047,2.0
15.0,14.149000000000001,2.0
16.0,14.300999999999998,2.0
17.0,14.446000000000002,2.0
18.0,14.575999999999999,2.0
19.0,14.652000000000001,2.0
20.0,14.734,2.0
21.0,14.812000000000001,2.0
22.0,14.878,2.0
23.0,14.961000000000002,2.0
24.0,15.046000000000001,2.0
25.0,15.121,2.0
26.0,15.187000000000001,2.0
27.0,15.242,2.0
28.0,15.321000000000002,2.0
29.0,15.427000000000001,2.0
30.0,15.505,2.0
31.0,15.628,2.0
32.0,15.669,2.0
33.0,15.738999999999999,2.0
34.0,15.793000000000001,2.0
35.0,15.86,2.0
36.0,15.943000000000001,2.0
37.0,16.025,2.0
38.0,16.127000000000002,2.0
39.0,16.269,2.0
40.0,16.396,2.0
41.0,16.531,2.0
42.0,16.665,2.0
43.0,16.880000000000003,2.0
44.0,17.036,2.0
45.0,17.182,2.0
46.0,17.332,2.0
47.0,17.512,2.0
48.0,17.684,2.0
49.0,17.855,2.0
50.0,18.04,2.0
51.0,18.153,2.0
52.0,18.256,2.0
53.0,18.363,2.0
54.0,18.48,2.0
55.0,18.566,2.0
56.0,18.655,2.0
57.0,18.728,2.0
58.0,18.803,2.0
59.0,18.897,2.0
60.0,18.994,2.0
61.0,19.097,2.0
62.0,19.198,2.0
63.0,19.307,2.0
64.0,19.42,2.0
65.0,19.518,2.0
66.0,19.613,2.0
67.0,19.699,2.0
68.0,19.791,2.0
69.0,19.857999999999997,2.0
70.0,19.901,2.0
71.0,19.933,2.0
72.0,19.966,2.0
73.0,20.000999999999998,2.0
74.0,20.032,2.0
75.0,20.065,2.0
76.0,20.105,2.0
77.0,20.134999999999998,2.0
78.0,20.162,2.0
79.0,20.2,2.0
80.0,20.246000000000002,2.0
81.0,20.279,2.0
82.0,20.303,2.0
83.0,20.319,2.0
84.0,20.351,2.0
85.0,20.405,2.0
86.0,20.467000000000002,2.0
87.0,20.533,2.0
88.0,20.608,2.0
89.0,20.696,2.0
90.0,20.812,2.0
91.0,20.895,2.0
92.0,21.014,2.0
93.0,21.204,2.0
94.0,21.523,2.0
95.0,21.774,2.0
96.0,22.035999999999998,2.0
97.0,22.281,2.0
98.0,22.472,2.0
99.0,22.616,2.0
100.0,22.747,2.0
101.0,22.908,2.0
102.0,23.032999999999998,2.0
103.0,23.161,2.0
104.0,23.267,2.0
105.0,23.399,2.0
106.0,23.524,2.0
107.0,23.613,2.0
108.0,23.726,2.0
109.0,23.806,2.0
110.0,23.863,2.0
111.0,23.974,2.0
112.0,24.119999999999997,2.0
113.0,24.365000000000002,2.0
114.0,24.647,2.0
115.0,24.97,2.0
116.0,25.288,2.0
117.0,25.607,2.0
118.0,25.863,2.0
119.0,26.101,2.0
